Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull,logPrice
Kia,Sportage,2025,828,2025 (25 reg),Auto,Hybrid,Bradford ,33688,1.6,5,Unknown,GDi 241 PHEV GT-Line Auto AWD Estate,10.42492665356173
Nissan,Qashqai,2024,898,2024 (74 reg),Manual,Hybrid,Halifax ,14999,1.3,5,Euro 6 (s/s),DIG-T MHEV Acenta Premium,9.615805480084347
Volvo,V40,2018,143,2018 (18 reg),Manual,Diesel,Bradford ,4795,1.6,5,Unknown,D2 [120] R DESIGN,8.475537516147405
Audi,A4 Avant,2017,115,2017 (17 reg),Auto,Diesel,Doncaster ,9975,2.0,5,Unknown,TDI Ultra 190 S Line Auto S Tronic Estate *Just Serviced & MOT 07/26*,9.207937487359873
Land Rover,Range Rover,2004,154,2004 (4 reg),Auto,Diesel,Wakefield ,3295,3.0,5,Unknown,Td6 HSE,8.100464891029363
Volkswagen,CC,2013,123,2013 (63 reg),Auto,Diesel,Leeds ,4650,2.0,4,Unknown,TDI BlueMotion Tech GT DSG,8.444837529224097
Maserati,Coupe,2004,95,2004 (54 reg),Auto,Petrol,Dukinfield ,8795,4.2,2,Unknown,"(4R) - Cambiocorsa Coupe Petrol Automatic (430 g/km, 390 bhp)",9.082052351674651
BMW,M5,2025,1,2025 (25 reg),Auto,Hybrid,Boroughbridge ,124995,4.4,5,Euro 6 (s/s),2kWh Touring Steptronic xDrive,11.736037015772427
MG,MG ZS,2020,25,2020 (70 reg),Auto,Electric,Halifax ,9990,4.5,5,Unknown,4kWh Exclusive Auto,9.209439966733019
Land Rover,Range Rover Sport,2016,85,2016 (66 reg),Auto,Diesel,Halifax ,16950,3.0,5,Euro 6 (s/s),SD V6 HSE Dynamic Auto 4WD,9.738082108118487
Mercedes-Benz,SLK,2004,58,2004 (4 reg),Auto,Petrol,Sowerby Bridge ,1850,1.6,2,Unknown,SLK 230K Tip Auto,7.523481312573497
Hyundai,i10,2015,22,2015 (65 reg),Manual,Petrol,Sheffield ,6595,1.0,5,Unknown,- SE,8.794218683679489
Toyota,RAV4,2013,52,2013 (13 reg),Auto,Diesel,Sheffield ,10795,2.2,5,Unknown,- D-CAT Invincible,9.286930974137896
BMW,M4,2019,41,2019 (19 reg),Auto,Petrol,Sheffield ,32950,3.0,2,Euro 6 (s/s),BiTurbo GPF Competition DCT,10.402776888483789
Porsche,911,2022,10,2022 (22 reg),Auto,Petrol,Boroughbridge ,153995,3.7,2,Euro 6 (s/s),992 Turbo S PDK 4WD,11.94468190703246
BMW,3 Series,2019,85,2019 (19 reg),Auto,Petrol,Oldham ,16295,1.6,4,Unknown,320I M SPORT,9.698674957906642
Audi,Q5,2021,36,2021 (21 reg),Auto,Petrol,Oldham ,27999,2.0,5,Euro 6 (s/s),TFSI 45 S line SUV Petrol S Tronic quattro (265 ps),10.239959789157341
Kia,Ceed,2025,11,2025 (25 reg),Manual,Petrol,Rotherham ,22494,1.5,5,Unknown,- GDi ISG 138 GT-Line,10.021048341275273
Audi,A3,2015,33,2015 (65 reg),Auto,Diesel,Sheffield ,11490,1.6,3,Euro 6 (s/s),TDI SE Technik S Tronic,9.349319399257634
Abarth,595,2014,64,2014 (14 reg),Auto,Petrol,Keighley ,7995,1.4,3,Unknown,T-Jet Turismo,8.98669669562029
BMW,1 Series,2021,12,2021 (71 reg),Auto,Petrol,Ossett ,20995,1.6,5,Unknown,- 118i [136] M Sport Step Auto,9.95208722237219
Hyundai,KONA,2022,15,2022 (22 reg),Auto,Hybrid,Oldham ,17599,1.6,5,Euro 6 (s/s),h-GDi Premium SUV Petrol Hybrid DCT (141 ps),9.775654181026242
Ford,Puma,2022,40,2022 (22 reg),Auto,Petrol,Oldham ,17299,1.0,5,Euro 6 (s/s),EcoBoost MHEV ST-Line Vignale SUV Petrol DCT (155 ps),9.75846178048587
Land Rover,Range Rover,2012,60,2012 (62 reg),Auto,Diesel,Oldham ,24950,4.4,5,Euro 5,TD V8 Westminster Auto 4WD,10.124669180536797
Land Rover,Range Rover Sport,2016,91,2016 (66 reg),Auto,Diesel,Sheffield ,15995,3.0,5,Euro 6 (s/s),SD V6 HSE SUV Diesel Auto 4WD (306 ps),9.680093969966709
MG,MG ZS,2019,46,2019 (69 reg),Auto,Petrol,Leeds ,10500,1.0,5,Unknown,GDi Exclusive DCT,9.259225769705994
Renault,Zoe,2020,9,2020 (20 reg),Auto,Electric,Sheffield ,9490,1.6,5,Unknown,- R135 52kWh GT Line Auto (i),9.158099260130491
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,24820,1.3,5,Unknown,DiG-T MH N-Connecta [Glass Roof] Petrol Hatchback,10.119445348035613
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,24820,1.3,5,Unknown,DiG-T MH N-Connecta [Glass Roof] Petrol Hatchback,10.119445348035613
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,27520,1.3,5,Unknown,DiG-T MH Tekna Petrol Hatchback,10.222704628596402
Kia,Ceed,2025,1,2025 (25 reg),Manual,Petrol,Rotherham ,21995,1.5,5,Unknown,- GDi ISG 138 GT-Line,9.998615897627705
Mercedes-Benz,A-Class,2017,69,2017 (17 reg),Auto,Diesel,Halifax ,8999,2.1,5,Euro 6 (s/s),A200d AMG Line (Executive) 7G-DCT,9.104979856318357
Volkswagen,Polo,2025,2,2025 (25 reg),Manual,Petrol,Huddersfield ,19379,1.0,5,Unknown,TSI Match Petrol Hatchback,9.871996885444757
MG,MG ZS,2025,8,2025 (25 reg),Auto,Electric,Huddersfield ,19800,1.6,5,Unknown,- 115kW SE EV Long Range 73kWh Auto,9.893487720457795
Vauxhall,Astra,2017,95,2017 (66 reg),Manual,Diesel,Sheffield ,4295,1.6,5,Euro 6 (s/s),- CDTi ecoFLEX Tech Line,8.3654396361887
Mercedes-Benz,C-Class,2002,109,2002 (52 reg),Auto,Diesel,Keighley ,1195,1.6,3,Unknown,C220 CDI Auto,7.086737934510577
Land Rover,Range Rover Evoque,2012,94,2012 (62 reg),Auto,Diesel,Bradford ,7950,2.2,5,Euro 5,SD4 Pure SUV Diesel Auto 4WD (190 ps),8.981052985901483
Peugeot,3008,2020,109,2020 (69 reg),Auto,Diesel,Bradford ,9995,1.5,5,Unknown,BlueHDi Allure EAT8,9.209940291954844
Audi,A3,2013,50,2013 (63 reg),Auto,Petrol,Leeds ,8470,1.4,5,Euro 5 (s/s),TFSI SE Sportback S Tronic,9.044403844431551
Land Rover,Range Rover Sport,2015,81,2015 (15 reg),Auto,Diesel,Bradford ,15950,3.0,5,Euro 5 (s/s),SD V6 HSE Dynamic SUV Diesel Auto 4WD (306 ps),9.677276802172448
Kia,Ceed,2025,10,2025 (25 reg),Manual,Petrol,Rotherham ,21495,1.5,5,Unknown,- GDi ISG 138 GT-Line,9.975622150295328
Volkswagen,Passat,2010,104,2010 (10 reg),Manual,Diesel,Manchester ,1390,2.0,5,Unknown,Highline TDI CR DPF 110,7.237778191923443
Kia,Ceed,2025,0,2025 (25 reg),Manual,Petrol,Rotherham ,23994,1.5,5,Unknown,- GDi ISG 138 3,10.085600754292345
Audi,A4,2015,106,2015 (15 reg),Auto,Diesel,Ossett ,6995,2.0,4,Unknown,- TDI 177 Quattro Black Edition S Tronic,8.853093836138493
BMW,3 Series,2014,89,2014 (64 reg),Manual,Diesel,Leeds ,7995,2.0,4,Euro 5 (s/s),318d M Sport,8.98669669562029
Vauxhall,Corsa,2022,56,2022 (71 reg),Auto,Petrol,Oldham ,12799,1.2,5,Euro 6 (s/s),Turbo Ultimate Hatchback Petrol Auto (130 ps),9.457200449907708
BMW,1 Series,2011,126,2011 (61 reg),Manual,Diesel,Keighley ,1695,1.2,3,Unknown,SE,7.4360278163518485
Cupra,Ateca,2024,29,2024 (74 reg),Auto,Petrol,Huddersfield ,26795,1.5,5,Euro 6,- Ecotsi V1 Suv Petrol Dsg s/s 150 Ps,10.196007901628159
Abarth,595,2016,58,2016 (16 reg),Manual,Petrol,Rotherham ,5790,1.4,3,Euro 6,T-Jet,8.66406026722579
Audi,Q2,2021,32,2021 (21 reg),Manual,Petrol,Oldham ,17499,1.0,5,Euro 6 (s/s),TFSI 30 S line SUV Petrol Manual (110 ps),9.769956159911606
Peugeot,2008,2015,40,2015 (15 reg),Auto,Petrol,Bradford ,5795,1.2,5,Unknown,PureTech Allure ETG,8.664923303440572
Volkswagen,Polo,2018,45,2018 (68 reg),Manual,Petrol,Ashton-under-Lyne ,10895,1.0,5,Unknown,- TSI 95 SE,9.296151028389293
Vauxhall,Antara,2015,97,2015 (65 reg),Manual,Diesel,Rotherham ,3650,2.2,5,Euro 5 (s/s),CDTi SE 4WD (SNav),8.202756381655638
Porsche,Macan,2019,46,2019 (68 reg),Auto,Petrol,Leeds ,32485,2.0,5,Unknown,"- PDK [3X PORSCHE SERVICES, SAT NAV, LEATHER, HEATED SEATS, PANORAMIC RO",10.38856450627934
BMW,3 Series,2019,92,2019 (19 reg),Auto,Petrol,Keighley ,16989,2.0,4,Euro 6 (s/s),330i M Sport Auto,9.740380214665977
Nissan,Qashqai,2019,29,2019 (69 reg),Manual,Petrol,Ashton-under-Lyne ,13895,1.3,5,Unknown,- DiG-T Tekna,9.53935630792094
Volkswagen,ID4,2025,2,2025 (25 reg),Auto,Electric,Huddersfield ,35320,1.6,5,Unknown,250kW 4MOTION GTX Edition 77kWh Auto Electric Estate,10.472232966887885
Citroen,C3,2018,53,2018 (68 reg),Manual,Petrol,Leeds ,4500,1.2,5,Unknown,PureTech 82 Feel,8.412054873292933
Volkswagen,Polo,2025,3,2025 (25 reg),Manual,Petrol,Knaresborough ,17970,1.0,5,Unknown,Life Petrol Hatchback,9.796514626532023
Jaguar,XF,2011,98,2011 (61 reg),Auto,Diesel,Halifax ,3900,2.2,4,Euro 5 (s/s),d Luxury Auto,8.268988209506656
Ford,Focus,2014,90,2014 (64 reg),Manual,Petrol,Batley ,3495,1.0,5,Unknown,125 EcoBoost Zetec,8.159374736775426
Porsche,Panamera,2010,72,2010 (10 reg),Auto,Petrol,Sheffield ,12500,4.8,5,Euro 5 (s/s),V8 PDK 4WD,9.433563920090563
Volkswagen,Golf,2024,5,2024 (24 reg),Auto,Petrol,Oldham ,32995,2.0,5,Euro 6 (s/s),TSI R DSG 4Motion,10.404141620980623
SEAT,Ateca,2019,49,2019 (69 reg),Auto,Petrol,Dewsbury ,13995,2.0,4,Unknown,- 2019 SEAT ATECA TSI FR SPORT DSG IVE RARE SPEC AND COLOUR,9.54652685348758
Mercedes-Benz,E-Class,2016,185,2016 (16 reg),Auto,Diesel,Batley ,5495,1.6,4,Unknown,E220 BlueTEC SE 7G-Tronic,8.611775833902186
Peugeot,3008,2023,28,2023 (23 reg),Auto,Hybrid,Leeds ,18995,1.6,5,Unknown,Hybrid 225 GT e-EAT8,9.851983709669012
Mercedes-Benz,SLK,2005,131,2005 (5 reg),Auto,Petrol,Skipton ,8995,1.6,2,Unknown,- SLK 55 Tip Auto,9.104535313079205
Mazda,CX-3,2017,63,2017 (67 reg),Manual,Petrol,Sheffield ,9497,2.0,5,Unknown,- Sport Nav,9.158836529109067
Citroen,C4,2014,126,2014 (14 reg),Auto,Diesel,Sheffield ,2700,1.6,5,Euro 5 (s/s),e-HDi Airdream VTR+ EGS6,7.901377353792616
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,24820,1.3,5,Unknown,DiG-T MH N-Connecta [Glass Roof] Petrol Hatchback,10.119445348035613
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,24820,1.3,5,Unknown,DiG-T MH N-Connecta [Glass Roof] Petrol Hatchback,10.119445348035613
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,24820,1.3,5,Unknown,DiG-T MH N-Connecta [Glass Roof] Petrol Hatchback,10.119445348035613
Volkswagen,T-Cross,2025,2,2025 (25 reg),Manual,Petrol,Huddersfield ,24733,1.0,5,Unknown,TSI Black Edition Petrol Estate,10.115934094302002
Vauxhall,Zafira Tourer,2016,88,2016 (16 reg),Auto,Diesel,Leeds ,7795,2.0,5,Euro 6,CDTi Elite Auto,8.961366060627451
Volkswagen,Polo,2013,60,2013 (13 reg),Manual,Petrol,Doncaster ,5745,1.4,5,Euro 5,Match,8.656259239539235
Fiat,500,2012,77,2012 (12 reg),Manual,Petrol,Rochdale ,2599,1.2,3,Unknown,Lounge [Start Stop],7.8632667240095735
Nissan,Note,2016,31,2016 (16 reg),Auto,Petrol,Bradford ,6495,1.2,5,Unknown,DiG-S Tekna Auto,8.778941881841513
Volkswagen,T-Cross,2024,130,2024 (24 reg),Auto,Petrol,York ,25498,1.0,5,Unknown,- TSI 115 R-Line DSG,10.146394514691288
Suzuki,SX4 S-Cross,2025,196,2025 (25 reg),Auto,Hybrid,Chesterfield ,21790,1.5,5,Euro 6 (s/s),h Motion AGS,9.989252319496922
Volvo,XC40,2025,5,2025 (25 reg),Auto,Hybrid,Knaresborough ,33990,1.6,5,Unknown,"Core, B3 Mild hybrid, Petrol",10.43385106267516
Dacia,Sandero Stepway,2015,55,2015 (15 reg),Manual,Petrol,Huddersfield ,3750,0.9,5,Euro 5,- TCe Ambiance Hatchback Petrol Manual (90 ps),8.229777750081887
Volkswagen,Taigo,2025,2,2025 (25 reg),Auto,Petrol,Huddersfield ,23809,1.0,5,Unknown,TSI 115 R-Line DSG Petrol Hatchback,10.077860939480908
Vauxhall,Corsa,2020,99,2020 (69 reg),Manual,Petrol,Keighley ,5989,1.2,5,Euro 6,SE,8.697846691109495
Nissan,Juke,2025,1,2025 (25 reg),Auto,Petrol,Rochdale ,24859,1.0,5,Unknown,- DIG-T N-CONNECTA DCT,10.121015365064702
MG,MG ZS,2019,49,2019 (69 reg),Auto,Petrol,Rotherham ,7295,1.0,5,Unknown,GDi Exclusive DCT,8.895081531754167
Mercedes-Benz,C-Class,2017,66,2017 (66 reg),Auto,Petrol,Keighley ,17989,1.6,4,Unknown,C43 4Matic Premium Plus Auto,9.79757132694458
Honda,Civic,2019,61,2019 (68 reg),Manual,Petrol,Ashton-Under-Lyne ,7495,1.0,5,Euro 6 (s/s),VTEC Turbo EX,8.922124823918258
Skoda,Citigo,2014,92,2014 (63 reg),Manual,Petrol,Manchester ,2991,1.0,5,Unknown,MPI SE,8.003697339094368
Volvo,V60,2012,135,2012 (12 reg),Auto,Diesel,Halifax ,3300,2.0,5,Euro 5 (s/s),D3 R-Design Geartronic,8.101980731853192
MINI,Hatch,2015,68,2015 (65 reg),Manual,Petrol,Wakefield ,6995,1.5,5,Unknown,Cooper,8.853093836138493
Mitsubishi,Eclipse Cross,2018,57,2018 (18 reg),Auto,Petrol,Leeds ,12695,1.5,5,Euro 6 (s/s),4 CVT 4WD,9.449042262206245
Land Rover,Range Rover Evoque,2018,122,2018 (18 reg),Manual,Diesel,Northowram ,7995,2.0,5,Unknown,eD4 SE Tech 2WD,8.98669669562029
Nissan,Qashqai,2013,110,2013 (13 reg),Manual,Diesel,Chesterfield ,3795,1.6,5,Unknown,dCi 360 [Start Stop],8.241703159729818
Volkswagen,ID3,2023,7,2023 (23 reg),Auto,Electric,Bramham ,21995,1.6,5,Unknown,- 150kW Tour Pro S 77kWh Auto,9.998615897627705
Land Rover,Range Rover Evoque,2019,72,2019 (19 reg),Auto,Diesel,Keighley ,14989,2.0,5,Euro 6 (s/s),D180 R-Dynamic S Auto 4WD,9.615138591096644
Peugeot,2008,2013,111,2013 (63 reg),Auto,Diesel,Sheffield ,2795,1.6,5,Unknown,e-HDi Active EGC,7.935945103353701
Kia,Ceed,2025,917,2025 (25 reg),Auto,Petrol,Barnsley ,22966,1.5,5,Unknown,GDi ISG 138 GT-Line DCT Petrol Hatchback,10.041813682016414
Porsche,Boxster,2003,69,2003 (53 reg),Manual,Petrol,Bradford ,6999,3.2,2,Unknown,(V) - 2003 S 260 CONVERTIBLE WITH HARD TOP FULL LEATHER FULL SERVICE HISTORY,8.85366542803745
Land Rover,Discovery Sport,2016,105,2016 (16 reg),Auto,Diesel,Halifax ,10489,2.0,5,Unknown,TD4 180 HSE Black Auto,9.258177701390343
Ford,Fiesta,2018,80,2018 (18 reg),Manual,Petrol,Leeds ,4500,1.0,5,Unknown,EcoBoost Zetec,8.412054873292933
Peugeot,2008,2025,3,2025 (25 reg),Auto,Electric,Huddersfield ,22850,1.6,5,Unknown,- 115kW GT 54kWh Auto,10.036750159040897
Vauxhall,Mokka,2025,1,2025 (25 reg),Manual,Petrol,Doncaster ,19851,1.2,5,Unknown,- Turbo SRi Premium,9.89606003670733
Hyundai,TUCSON,2018,59,2018 (18 reg),Manual,Diesel,Sheffield ,9390,1.7,5,Euro 6 (s/s),- CRDi Blue Drive S,9.147507062804614
Nissan,Micra,2013,66,2013 (62 reg),Auto,Petrol,Leeds ,3995,1.2,5,Unknown,Acenta CVT,8.293049139768444
Hyundai,i10,2014,64,2014 (14 reg),Auto,Petrol,Leeds ,5250,1.2,5,Unknown,SE Auto,8.566173813637858
Audi,A3,2012,174,2012 (62 reg),Manual,Diesel,Bradford ,3375,1.6,3,Unknown,TDI S Line,8.124446855715847
Kia,Stonic,2023,5,2023 (23 reg),Auto,Petrol,Rotherham ,11495,1.0,5,Unknown,GDi 99 2 DCT,9.34975442775886
Volvo,V40,2016,174,2016 (16 reg),Manual,Diesel,Bradford ,2950,1.6,5,Unknown,D3 [4 Cyl 150] SE Nav,7.989899374942939
Alfa Romeo,Giulietta,2016,81,2016 (16 reg),Manual,Diesel,Manchester ,6500,2.0,5,Euro 6 (s/s),JTDM-2 QV Line,8.77971129020447
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,22630,1.3,5,Unknown,DiG-T MH Acenta Premium Petrol Hatchback,10.027075926780746
Mercedes-Benz,C-Class,2013,52,2013 (63 reg),Auto,Petrol,Ossett ,17995,1.6,4,Unknown,- C63 Auto,9.797904789961063
Fiat,500,2014,87,2014 (64 reg),Auto,Petrol,Sheffield ,4495,0.9,3,Unknown,TwinAir Lounge Dualogic,8.410943391573527
Honda,CR-V,2010,145,2010 (60 reg),Manual,Diesel,Oldham ,2785,2.2,5,Euro 5,i-DTEC EX 4WD,7.932362154339751
Mercedes-Benz,CLA,2020,68,2020 (20 reg),Auto,Diesel,Oldham ,18544,2.0,4,EURO 6 (S/S),CLA220d AMG LINE (PREMIUM PLUS 2) COUPE DIESEL 8G-DCT,9.827955489923692
Volkswagen,Golf,2015,80,2015 (65 reg),Manual,Petrol,Leeds ,7940,1.4,5,Euro 6 (s/s),TSI BlueMotion Tech ACT GT,8.97979449089521
Land Rover,Range Rover,1993,106,1993 (K),Auto,Petrol,Leeds ,19995,3.9,5,Unknown,(K) - Vogue SE,9.903287532533462
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,22630,1.3,5,Unknown,DiG-T MH Acenta Premium Petrol Hatchback,10.027075926780746
Mercedes-Benz,V-Class,2018,385,2018 (18 reg),Auto,Diesel,Wakefield ,17995,2.2,5,Euro 6 (s/s),V220d BlueTEC Sport G-Tronic+ 8 Seat XLWB,9.797904789961063
Ford,S-Max,2015,137,2015 (65 reg),Manual,Diesel,Wakefield ,6495,2.0,5,Euro 6 (s/s),TDCi Titanium,8.778941881841513
Volkswagen,Taigo,2025,3,2025 (25 reg),Auto,Petrol,Knaresborough ,23434,1.0,5,Unknown,TSI 115 R-Line DSG Petrol Hatchback,10.061985910356807
Fiat,500,2012,89,2012 (12 reg),Manual,Petrol,Rochdale ,2995,1.2,3,Euro 4,Lounge Hatchback Petrol Manual (69 bhp),8.005033344637111
Nissan,Qashqai,2025,11,2025 (25 reg),Manual,Petrol,Halifax ,22630,1.3,5,Unknown,DiG-T MH Acenta Premium Petrol Hatchback,10.027075926780746
BMW,X5M,2018,25,2018 (18 reg),Auto,Petrol,Boroughbridge ,41995,4.4,5,Euro 6 (s/s),BiTurbo V8 Auto xDrive (5 Seat),10.645329654634832
Kia,Picanto,2025,963,2025 (25 reg),Manual,Petrol,Barnsley ,16662,1.0,5,Unknown,3 [4 seats] Petrol Hatchback,9.720945971538624
Vauxhall,Corsa,2012,38,2012 (62 reg),Manual,Petrol,Wakefield ,4590,1.2,5,Unknown,- Limited Edition ## STUNNING CAR - NEW TIMING CHAIN ##,8.431853144249223
BMW,7 Series,2009,82,2009 (59 reg),Auto,Diesel,Wakefield ,6995,3.0,4,Euro 5,730d SE Auto,8.853093836138493
Kia,Ceed,2022,52,2022 (22 reg),Manual,Petrol,Leeds ,12995,1.5,5,Euro 6 (s/s),T-GDi 3 Hatchback Petrol Manual (158 bhp),9.472396896788991
Ford,Fiesta,2014,41,2014 (64 reg),Manual,Petrol,Liversedge ,5495,1.2,5,Unknown,- 5 Zetec,8.611775833902186
Ford,Fiesta,2010,35,2010 (10 reg),Manual,Petrol,Sheffield ,3995,1.2,5,Unknown,5 Zetec,8.293049139768444
Vauxhall,Zafira,2014,130,2014 (14 reg),Manual,Diesel,Ossett ,2995,2.0,5,Unknown,- CDTi SRi,8.005033344637111
BMW,X5,2008,98,2008 (8 reg),Auto,Diesel,Leeds ,7995,3.0,5,Euro 4,d SE Auto 4WD,8.98669669562029
Peugeot,208,2019,32,2019 (69 reg),Manual,Petrol,Yeadon ,8995,1.2,5,Euro 6 (s/s),PureTech GPF GT Line,9.104535313079205
Peugeot,208,2016,68,2016 (65 reg),Manual,Petrol,Bradford ,3400,1.2,5,Unknown,PureTech 82 Active,8.131824785007195
Jaguar,I-Pace,2021,48,2021 (21 reg),Auto,Electric,Halifax ,16990,1.6,5,Unknown,400 90kWh SE Auto 4WD,9.740439071085758
Mercedes-Benz,A-Class,2016,88,2016 (16 reg),Manual,Diesel,Leeds ,8699,1.5,5,Euro 6 (s/s),- A180d AMG Line (Executive),9.071078304642676
Peugeot,308 SW,2015,92,2015 (64 reg),Manual,Diesel,Halifax ,4495,1.6,5,Euro 6 (s/s),BlueHDi Allure,8.410943391573527
Toyota,Yaris,2007,95,2007 (57 reg),Manual,Diesel,Northowram ,1295,1.4,5,Unknown,D-4D TR,7.16703787691222
Kia,XCeed,2025,10,2025 (25 reg),Manual,Petrol,Barnsley ,22192,1.5,5,Unknown,GDi ISG GT-Line Petrol Hatchback,10.007532202822729
Nissan,Micra,2021,39,2021 (21 reg),Manual,Petrol,Ashton-under-Lyne ,9195,1.0,5,Unknown,- IG-T 92 Acenta,9.126523885883072
Mercedes-Benz,EQC,2020,32,2020 (70 reg),Auto,Electric,Halifax ,22990,1.6,5,Unknown,EQC 400 80kWh AMG Line Auto 4MATIC,10.042858113983936
BMW,3 Series,2019,54,2019 (19 reg),Auto,Diesel,Halifax ,17499,3.0,5,Euro 6 (s/s),335d M Sport Shadow Edition Touring Auto xDrive,9.769956159911606
Kia,Stonic,2025,3,2025 (25 reg),Manual,Petrol,Doncaster ,19499,1.0,5,Unknown,- GDi 98 GT-Line Manual,9.878169744551839
Vauxhall,Mokka X,2018,57,2018 (18 reg),Manual,Petrol,Huddersfield ,7495,1.4,5,Euro 6 (s/s),i Turbo ecoTEC Active,8.922124823918258
Land Rover,Range Rover Evoque,2013,92,2013 (13 reg),Auto,Diesel,HOLMFIRTH ,8495,2.2,5,Euro 5,SD4 Dynamic Auto 4WD,9.04735074348172
BMW,3 Series,2017,100,2017 (17 reg),Auto,Diesel,Leeds ,8695,2.0,5,Euro 6 (s/s),316d SE Touring Diesel Auto (116 ps),9.070618428801046
Fiat,500,2014,65,2014 (64 reg),Manual,Petrol,Chesterfield ,3990,1.2,3,Euro 6 (s/s),Lounge Hatchback Petrol Manual (69 bhp),8.291797105048733
MINI,Countryman,2013,95,2013 (63 reg),Manual,Diesel,Castleford ,4195,1.6,5,Euro 5 (s/s),Cooper D,8.341886969516187
Audi,A3,2017,131,2017 (67 reg),Manual,Diesel,Bradford ,7750,1.6,5,Unknown,TDI 116 Black Edition,8.955577146281511
Audi,A5,2015,81,2015 (15 reg),Auto,Diesel,Ossett ,6295,2.0,2,Unknown,TDI 177 S Line Special Ed Plus Multitronic TOP SPEC,8.74766979009724
BMW,1 Series,2018,70,2018 (67 reg),Auto,Petrol,Ossett ,14995,1.6,5,Unknown,M140i Shadow Edition Step Auto STAGE 1 REMAP TOP SPEC,9.615538777855802
Kia,XCeed,2025,5,2025 (25 reg),Manual,Petrol,Doncaster ,21990,1.5,5,Unknown,- GDi ISG 138 GT-Line Manual,9.998388557730848
Audi,A3,2011,118,2011 (11 reg),Manual,Diesel,Sheffield ,2500,2.0,5,Euro 5 (s/s),TDI Black Edition Sportback,7.824445930877619
Ford,Fiesta,2017,44,2017 (67 reg),Manual,Diesel,Doncaster ,7995,1.5,5,Unknown,ZETEC TDCI Manual,8.98669669562029
Vauxhall,Combo Life,2025,1,2025 (25 reg),Auto,Electric,Huddersfield ,18500,1.6,5,Unknown,- 100kW Ultimate 52kWh Auto,9.825580063659602
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,22630,1.3,5,Unknown,DiG-T MH Acenta Premium Petrol Hatchback,10.027075926780746
Nissan,Juke,2025,4,2025 (25 reg),Manual,Petrol,Castleford ,19799,1.0,5,Unknown,- DiG-T Tekna,9.893437216682626
BMW,X5,2023,35,2023 (23 reg),Auto,Hybrid,Sheffield ,48750,3.0,5,Euro 6 (s/s),- 30d MHT M Sport SUV Diesel Hybrid Auto xDrive (286 ps),10.79448098903612
Kia,Ceed,2025,4,2025 (25 reg),Auto,Petrol,Rotherham ,22995,1.5,5,Unknown,- GDi ISG 138 GT-Line DCT,10.043075566743182
BMW,5 Series,2016,133,2016 (65 reg),Auto,Diesel,Sheffield ,5995,5.2,5,Unknown,[190] M Sport Step Auto ***MASSIVE SPEC***,8.698847859222488
Mitsubishi,Outlander,2014,141,2014 (64 reg),Manual,Diesel,Wakefield ,4095,2.2,5,Euro 5 (s/s),DI-D GX4 4WD,8.317766166719343
Fiat,500,2018,61,2018 (68 reg),Manual,Petrol,Goole ,3795,1.2,3,Unknown,Pop,8.241703159729818
Ford,Kuga,2016,34,2016 (16 reg),Auto,Diesel,Oldham ,6999,2.0,5,Unknown,TDCi 180 Titanium X Sport Powershift,8.85366542803745
Kia,Stonic,2025,13,2025 (25 reg),Manual,Petrol,Barnsley ,19080,1.0,5,Unknown,GDi 98 GT-Line Petrol Estate,9.856448354530341
Peugeot,E-2008,2024,899,2024 (73 reg),Auto,Electric,Keighley ,18695,1.6,5,Unknown,54kWh Allure Auto (7kW Charger),9.836064876218694
Ford,Mondeo,2008,231,2008 (58 reg),Manual,Diesel,Northowram ,895,2.0,5,Unknown,TDCi Titanium,6.79794041297493
Mercedes-Benz,C-Class,2014,34,2014 (14 reg),Auto,Petrol,Leeds ,11480,2.0,4,Euro 6 (s/s),C200 Sport 7G-Tronic+,9.348448774093812
Ford,Focus,2014,83,2014 (64 reg),Manual,Diesel,Leeds ,5480,1.5,5,Euro 6 (s/s),TDCi Zetec S,8.609042845046117
Renault,Captur,2016,52,2016 (66 reg),Manual,Petrol,Keighley ,5495,0.9,5,Unknown,TCE 90 Dynamique S Nav,8.611775833902186
Nissan,Qashqai,2025,10,2025 (25 reg),Manual,Petrol,Halifax ,22630,1.3,5,Unknown,DiG-T MH Acenta Premium Petrol Hatchback,10.027075926780746
Volkswagen,T-Cross,2024,10,2024 (24 reg),Auto,Petrol,Huddersfield ,25998,1.0,5,Unknown,- TSI 115 R-Line DSG,10.165813354725493
Nissan,Qashqai,2025,11,2025 (25 reg),Manual,Petrol,Halifax ,22625,1.3,5,Unknown,DiG-T MH Acenta Premium Petrol Hatchback,10.026854966486413
