Brand,Model,Year,Miles(k miles),Registration,Control,Fuel,Location,Price(£),EngineSize,Doors,Emission,ModelFull
Toyota,Land Cruiser,2014.0,138,2014 (63 reg),Auto,Diesel,Dalton Magna ,34995,4.5,5,,D-4D V8 Auto
Ford,Ranger,2020.0,19,2020 (20 reg),Auto,Diesel,Leeds ,39985,2.0,,,- WILDTRAK ECOBLUE [ONE OF A KIND OVER 100K WORTH OF EXTRAS]
Audi,A3,2010.0,122,2010 (10 reg),Manual,Diesel,Goole ,2495,1.6,2,,TDI Technik
Ford,Fiesta,2012.0,99,2012 (12 reg),Auto,Petrol,Keighley ,4995,1.4,5,,Titanium Auto
Toyota,Avensis,2008.0,170,2008 (58 reg),Manual,Diesel,Bradford ,999,2.2,5,,D-4D TR
Land Rover,Defender,2010.0,76,2010 (10 reg),Manual,Diesel,"Cleckheaton, Scholes ",27990,,,,XS Station Wagon TDCi
Porsche,Cayenne,2013.0,127,2013 (63 reg),Auto,Diesel,OLDHAM ,11495,3.0,5,,- TD V6
BMW,M5,2019.0,51,2019 (19 reg),Auto,Petrol,Bradford ,53990,,4,,COMPETITION xDrive Auto MR VANOS FORGED ENGINE|VT STAGE 2+ 830
Mercedes-Benz,AMG GT,2019.0,30,2019 (69 reg),Auto,Petrol,Boroughbridge ,79895,4.0,5,Euro 6 (s/s),63 V8 BiTurbo S Edition 1 Coupe SpdS MCT 4MATIC+
Fiat,500,2015.0,47,2015 (15 reg),Manual,Petrol,Sheffield ,4995,1.2,3,Euro 6 (s/s),S
Jaguar,XJ,2015.0,75,2015 (65 reg),Auto,Diesel,OLDHAM ,12995,3.0,4,,- d V6 Portfolio
BMW,i5,2025.0,245,2025 (25 reg),Auto,Electric,Doncaster ,63750,,4,,- 250kW eDrive40 M Sport 84kWh Auto
Porsche,Cayenne,2022.0,29,2022 (72 reg),Auto,Petrol,Boroughbridge ,78895,4.0,5,Euro 6 (s/s),V8 GTS TiptronicS 4WD
BMW,3 Series,2014.0,104,2014 (14 reg),Auto,Diesel,Huddersfield ,9495,2.0,5,Euro 5 (s/s),320d M Sport Touring Auto xDrive
Ford,Fiesta,2011.0,78,2011 (61 reg),Auto,Petrol,Sheffield ,4695,1.4,3,,Zetec
Audi,Q5,2012.0,119,2012 (12 reg),Auto,Diesel,Doncaster ,5995,2.0,5,,TDI Quattro SE S Tronic
Volvo,V70,2012.0,134,2012 (62 reg),Manual,Diesel,keighley ,4495,2.0,5,Euro 5 (s/s),D4 R-Design
Land Rover,Defender,2009.0,77,2009 (59 reg),Manual,Diesel,"Cleckheaton, Scholes ",21990,,,,- County Hard Top TDCi
Vauxhall,Astra GTC,2014.0,92,2014 (14 reg),Manual,Petrol,Castleford ,2895,1.4,3,,16V 140 SRi
Vauxhall,Astra GTC,2012.0,61,2012 (12 reg),Manual,Petrol,Castleford ,3990,1.4,3,,- 16V 140 SRi - 11 SERVICE STAMPS -
Audi,R8,2022.0,12,2022 (72 reg),Auto,Petrol,York ,111786,5.2,2,Euro 6 (s/s),FSI V10 Performance Edition Spyder RWD Petrol S Tronic
Vauxhall,Corsa,2011.0,89,2011 (61 reg),Manual,Petrol,Cleckheaton ,2495,1.2,3,Euro 5,16V Limited Edition
Toyota,Yaris,2006.0,113,2006 (6 reg),Auto,Petrol,Wakefield ,2495,1.3,5,,T Spirit Multimode
Mercedes-Benz,C-Class,2011.0,84,2011 (61 reg),Auto,Petrol,Dewsbury ,16995,,4,,C63 Auto
Ford,Fiesta,2009.0,103,2009 (9 reg),Auto,Petrol,Mexborough ,3695,1.4,5,,Style + Auto
BMW,Z4,2007.0,113,2007 (57 reg),Manual,Petrol,Batley ,2500,2.0,2,,- Z4 i Sport Roadster
SEAT,Ibiza,2012.0,130,2012 (62 reg),Manual,Diesel,Bradford ,1995,1.6,5,,TDI CR SE
Vauxhall,Insignia,2016.0,109,2016 (66 reg),Manual,Diesel,Oldham ,4295,1.6,5,Euro 6 (s/s),CDTi SRi VX Line Nav
BMW,M3,2021.0,29,2021 (71 reg),Auto,Petrol,Bradford ,76990,,4,,M3 xDrive Competition M Step Auto
Vauxhall,Astra,2013.0,77,2013 (13 reg),Manual,Petrol,Castleford ,2990,1.6,5,,- i 16V SRi
Ford,Ranger,2024.0,22,2024 (73 reg),Auto,Diesel,Sheffield ,43776,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD
Audi,Q7,2015.0,125,2015 (15 reg),Auto,Diesel,Leeds ,10995,3.0,5,Euro 5 (s/s),TDI V6 S line Plus Tiptronic quattro
Land Rover,Defender 110,2024.0,4,2024 (24 reg),Auto,Petrol,Boroughbridge ,114995,5.0,5,Euro 6 (s/s),P525 V8 Carpathian Edition Auto 4WD
Audi,A1,2011.0,122,2011 (61 reg),Manual,Diesel,Doncaster ,3295,1.6,3,,TDI Sport
Land Rover,Defender,2006.0,72,2006 (56 reg),Manual,Diesel,"Cleckheaton, Scholes ",19990,,,,County Station Wagon Td5 (9 seater)
Mercedes-Benz,SLK,2002.0,73,2002 (2 reg),Auto,Petrol,Dalton Magna ,4995,,2,,SLK 230K Tip Auto
BMW,M3,2005.0,89,2005 (55 reg),Manual,Petrol,Leeds ,19995,3.2,2,Euro 4,i
Mercedes-Benz,C-Class,2014.0,82,2014 (14 reg),Auto,Petrol,Bradford ,44990,6.2,5,,V8 (507 PS) C63 AMG EDITION 507 SpdS MCT + WOW !!! VERY RARE CAR !
Volvo,C30,2010.0,146,2010 (60 reg),Manual,Diesel,Wakefield ,2195,1.6,3,Euro 5,D2 R-Design Sports Coupe
Mercedes-Benz,C-Class,2015.0,135,2015 (15 reg),Auto,Diesel,Wakefield ,7995,2.1,4,Euro 6 (s/s),C220 BlueTEC AMG Line (Premium) G-Tronic+
Peugeot,107,2010.0,110,2010 (10 reg),Manual,Petrol,Wakefield ,1695,1.0,3,,Urban
Ford,Ka,2010.0,83,2010 (60 reg),Manual,Petrol,Cleckheaton ,2250,1.2,3,Euro 4,Titanium
Peugeot,107,2007.0,97,2007 (7 reg),Manual,Petrol,Wakefield ,1490,1.0,3,,Sport XS
Land Rover,Defender 110,2023.0,25,2023 (72 reg),Auto,Diesel,Sheffield ,52980,3.0,5,Euro 6 (s/s),- D250 MHEV Hard Top SUV Diesel Auto 4WD MWB (250 ps)
Land Rover,Defender,2025.0,913,2025 (25 reg),Auto,Diesel,Old Whittington ,89844,3.0,5,,D350 X-Dynamic HSE 110 Auto Diesel Estate
Jaguar,F-Type,2019.0,33,2019 (69 reg),Auto,Petrol,Harrogate ,41990,5.0,2,,P450 Supercharged V8 R-Dynamic Auto
Saab,9-3,2007.0,165,2007 (7 reg),Manual,Petrol,Cleckheaton ,990,1.8,2,,t Vector
Toyota,RAV4,2007.0,134,2007 (7 reg),Manual,Petrol,Greater Manchester ,2995,2.0,5,,XT-R 4WD
Honda,Jazz,2010.0,70,2010 (10 reg),Auto,Petrol,Cleckheaton ,3750,1.4,5,Euro 4,i-VTEC ES i SHIFT
Nissan,Qashqai,2014.0,83,2014 (64 reg),Manual,Diesel,Mexborough ,6395,1.5,5,Euro 5 (s/s),dCi Tekna 2WD
Land Rover,Range Rover Sport,2024.0,10,2024 (24 reg),Auto,Diesel,Boroughbridge ,77850,3.0,5,Euro 6 (s/s),D300 MHEV Dynamic SE Auto 4WD
Audi,R8,2015.0,25,2015 (15 reg),Auto,Petrol,Leeds ,59875,5.2,2,,"- SPYDER V10 QUATTRO [4X SERVICES, SAT NAV, LEATHER, HEATED SEATS, REVERS"
Vauxhall,Corsa,2012.0,85,2012 (62 reg),Manual,Petrol,York ,3495,1.2,5,,- SE
BMW,1 Series,2011.0,159,2011 (11 reg),Auto,Diesel,Wakefield ,2995,2.0,2,Euro 5,118d M Sport Steptronic
Land Rover,Range Rover,2021.0,45,2021 (21 reg),Auto,Diesel,Oldham ,49949,3.0,5,Euro 6 (s/s),D300 MHEV Autobiography Auto 4WD (300 ps)
BMW,3 Series,2016.0,109,2016 (66 reg),Auto,Diesel,Sheffield ,14995,3.2,5,,M Sport Step Auto ***AMAZING EXAMPLE***
Porsche,Cayenne,2013.0,80,2013 (62 reg),Auto,Diesel,Rotherham ,13490,3.0,5,Euro 5 (s/s),TD V6 Tiptronic 4WD
BMW,i4,2025.0,101,2025 (25 reg),Auto,Electric,Harrogate ,65760,3.9,5,,- 250kW eDrive40 M Sport 8kWh Auto
Toyota,Yaris,2017.0,111,2017 (17 reg),Manual,Petrol,Halifax ,5995,1.5,5,Euro 6,VVT-i Icon Tech
Ford,Ranger,2023.0,35,2023 (23 reg),Auto,Diesel,Sheffield ,33480,2.0,4,Euro 6 (s/s),- EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD (21
Porsche,Cayenne,2012.0,93,2012 (12 reg),Auto,Diesel,OLDHAM ,12795,3.0,5,,- TD V6
Land Rover,Defender,2020.0,91,2020 (70 reg),Auto,Diesel,Doncaster ,37975,2.0,5,,"- D240 S 110 Auto *1 Former Keeper, FSH & MOT 03/26*"
Land Rover,Range Rover,2024.0,3,2024 (24 reg),Auto,Hybrid,Sheffield ,99980,,5,,- HSE SLIDING 1 OWNER PANORAMIC ROOF
Land Rover,Defender,2021.0,31,2021 (21 reg),Auto,Diesel,Sheffield ,51594,,,,- HARD TOP
SEAT,Leon,2015.0,84,2015 (65 reg),Manual,Diesel,Cleckheaton ,6750,2.0,5,Euro 5 (s/s),TDI CR FR
Mercedes-Benz,CLS,2013.0,175,2013 (63 reg),Auto,Diesel,Armley ,5895,,4,,CLS 250 CDI BlueEFFICIENCY AMG Sport Tip Auto
Citroen,C3,2004.0,95,2004 (4 reg),Manual,Petrol,Keighley ,795,1.4,5,,i LX
Fiat,500,2012.0,91,2012 (61 reg),Auto,Petrol,Mexborough ,3795,1.2,3,,Lounge Dualogic [Start Stop]
Ford,Ranger,2024.0,28,2024 (73 reg),Auto,Diesel,Sheffield ,38376,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD
Ford,Mondeo,2013.0,132,2013 (13 reg),Manual,Diesel,Rotherham ,2790,1.6,5,Euro 5 (s/s),TDCi ECOnetic Titanium X
Vauxhall,Corsa,2019.0,41,2019 (19 reg),Manual,Petrol,Rochdale ,7990,1.4,5,Euro 6,"i ecoTEC Energy Hatchback Petrol Manual (75 ps) Touchscreen,"
Nissan,ARIYA,2025.0,8,2025 (25 reg),Auto,Electric,Leeds ,47499,,5,,- 320Kw Nismo 87Kwh 22Kwch E-4Orce Auto
Mercedes-Benz,C-Class,2012.0,97,2012 (62 reg),Auto,Petrol,Armley ,17495,,4,,C63 Auto
Skoda,Superb,2009.0,165,2009 (9 reg),Manual,Diesel,Armley ,1495,2.0,5,,TDI PD 140 Elegance
Porsche,Macan,2021.0,29,2021 (21 reg),Auto,Petrol,Sheffield ,41480,2.0,5,Euro 6 (s/s),- SUV Petrol PDK 4WD (245 ps)
Honda,CR-V,2010.0,128,2010 (60 reg),Manual,Petrol,Stalybridge ,3250,2.0,5,Euro 5,i-VTEC ES-T 4WD
BMW,i4,2025.0,101,2025 (25 reg),Auto,Electric,Harrogate ,65230,3.9,5,,- 250kW eDrive40 M Sport 8kWh Auto
Mercedes-Benz,CLA,2014.0,97,2014 (14 reg),Auto,Diesel,Rotherham ,9950,2.1,4,Euro 6 (s/s),CLA220 CDI AMG Sport Coupe 7G-DCT
Land Rover,Discovery,2000.0,151,2000 (X),Manual,Diesel,Wakefield ,3999,2.5,5,,(X) - TD5 GS (5 Seats)
Land Rover,Range Rover Sport,2023.0,6,2023 (23 reg),Auto,Diesel,Wakefield ,79990,3.0,5,EURO 6,2023 RANGE ROVER SPORT D350 AUTOBIOGRAPHY AUTO 4WD
Peugeot,206,2004.0,70,2004 (54 reg),Manual,Petrol,Bradford ,1150,1.4,5,,Zest 2 [AC]
Peugeot,2008,2014.0,138,2014 (14 reg),Manual,Diesel,Cleckheaton ,1995,1.6,5,Euro 5 (s/s),e-HDi Feline (Calima)
Peugeot,2008,2015.0,22,2015 (65 reg),Manual,Diesel,Castleford ,7490,1.6,5,,- BlueHDi 120 Allure
MINI,Countryman,2019.0,35,2019 (68 reg),Manual,Petrol,Rochdale ,13990,1.5,5,Euro 6 (s/s),"Cooper Classic SUV Petrol Manual (136 ps) Low Mileage,"
Peugeot,3008,2018.0,80,2018 (68 reg),Manual,Diesel,Leeds ,9240,1.5,5,Euro 6 (s/s),BlueHDi Allure
Hyundai,i10,2015.0,31,2015 (15 reg),Auto,Petrol,Ashton-under-lyne ,8095,1.2,5,,Premium Auto
Peugeot,208,2014.0,87,2014 (14 reg),Manual,Diesel,Cleckheaton ,3250,1.6,5,Euro 5 (s/s),e-HDi Feline (Nav)
BMW,i4,2025.0,101,2025 (25 reg),Auto,Electric,Harrogate ,57610,,5,,- 210kW eDrive35 M Sport 70kWh Auto
Porsche,Boxster,2004.0,122,2004 (4 reg),Manual,Petrol,Bradford ,4999,2.7,2,,- 2004 [228] CONVERTIBLE GREY FULL LEATHER SERVICE HISTORY
Aston Martin,DBS,2022.0,5,2022 (72 reg),Auto,Petrol,Boroughbridge ,167995,5.2,2,Euro 6 (s/s),V12 BiTurbo Volante Auto
Land Rover,Defender 110,2020.0,45,2020 (70 reg),Auto,Diesel,York ,46489,2.0,5,Euro 6 (s/s),SD4 S Auto 4WD
Ford,Kuga,2016.0,96,2016 (16 reg),Manual,Diesel,KEIGHLEY ,7495,2.0,5,,TDCi 150 Titanium X 2WD
Citroen,DS5,2013.0,78,2013 (63 reg),Auto,Diesel,Rotherham ,6350,2.0,5,Euro 5,HDi DStyle Auto
Porsche,Boxster,2022.0,13,2022 (22 reg),Auto,Petrol,Bramham ,50000,2.0,2,,PDK
BMW,3 Series,2021.0,90,2021 (21 reg),Auto,Diesel,Oldham ,30240,3.4,5,,M340d xDrive MHT Step Auto
Porsche,Cayenne,2020.0,46,2020 (70 reg),Auto,Hybrid,Dronfield ,52985,,5,,E-Hybrid Tiptronic S Coupe
Renault,Clio,2013.0,95,2013 (13 reg),Manual,Petrol,Wakefield ,3500,0.9,5,,TCE 90 Dynamique MediaNav Energy
BMW,3 Series,2020.0,70,2020 (20 reg),Auto,Hybrid,oldham ,24995,2.0,4,,- 320d M Sport Pro Edition Saloon
Citroen,Berlingo,2010.0,89,2010 (10 reg),Manual,Petrol,Wakefield ,4000,1.6,5,,i 16V VTR
Audi,A3,2017.0,174,2017 (17 reg),Auto,Diesel,Bradford ,8995,2.0,5,,TDI Black Edition S Tronic
Nissan,Qashqai,2014.0,110,2014 (14 reg),Manual,Diesel,Barnsley ,5695,1.5,5,,dCi Tekna
Land Rover,Defender 110,2021.0,24,2021 (21 reg),Auto,Petrol,Sheffield ,87480,5.0,5,Euro 6 (s/s),- P525 V8 Carpathian Edition SUV Petrol Auto 4WD (525 ps
Nissan,GT-R,2015.0,46,2015 (65 reg),Auto,Petrol,Cottingley ,56995,,2,,- V6 Premium Black
Ford,Ranger,2025.0,5,2025 (74 reg),Auto,Diesel,Sheffield ,45900,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD
Nissan,Qashqai,2016.0,85,2016 (66 reg),Auto,Diesel,Oldham ,8595,1.6,5,,dCi Tekna Xtronic
Porsche,911,2023.0,7,2023 (23 reg),Auto,Petrol,Boroughbridge ,129995,3.0,2,Euro 6 (s/s),992 4 GTS Targa PDK 4WD
Volkswagen,Caravelle,2018.0,17,2018 (18 reg),Auto,Diesel,Wakefield ,29990,2.0,5,EURO 6,2018 VOLKSWAGEN CARAVELLE TDI BlueMotion TECH EXECUTIVE DSG
Porsche,911,2022.0,13,2022 (22 reg),Auto,Petrol,Boroughbridge ,119895,3.0,2,Euro 6 (s/s),992 4 GTS Targa PDK 4WD
Audi,A6 Saloon,2011.0,146,2011 (11 reg),Manual,Diesel,Ossett ,4995,2.0,4,,- TDI S Line
Volkswagen,Golf,2013.0,95,2013 (63 reg),Manual,Diesel,Dukinfield ,7150,2.0,3,Euro 5 (s/s),TDI BlueMotion Tech GT
Hyundai,i20,2013.0,133,2013 (13 reg),Manual,Petrol,Greasborough ,1895,1.2,5,,Classic
Mercedes-Benz,GLE-Class,2019.0,107,2019 (19 reg),Auto,Petrol,Rochdale ,31979,3.0,5,Euro 6 (s/s),GLE450h MHEV AMG Line (Premium Plus) G-Tronic 4MATIC (
BMW,M5,2025.0,3,2025 (25 reg),Auto,Hybrid,Boroughbridge ,97995,4.4,4,Euro 6 (s/s),2kWh Steptronic xDrive
SEAT,Ibiza,2012.0,49,2012 (12 reg),Manual,Petrol,Leeds ,5240,1.2,3,Euro 5,TSI FR Sport Coupe
BMW,5 Series,2025.0,101,2025 (25 reg),Auto,Not Supplied,Harrogate ,70570,,5,,- 530e M Sport Auto
Land Rover,Range Rover Sport,2018.0,65,2018 (18 reg),Auto,Petrol,Bradford ,27590,3.0,5,,V6 S/C HSE Dynamic Auto
Ford,Fiesta,2009.0,115,2009 (9 reg),Manual,Petrol,Rochdale ,1995,1.6,3,,Zetec S
Nissan,GT-R,2014.0,75,2014 (64 reg),Auto,Petrol,York ,47786,3.8,2,Euro 5,V6 Premium Black Coupe Petrol Auto 4WD (550 ps)
Hyundai,KONA,2025.0,372,2025 (25 reg),Auto,Hybrid,Bradford ,31590,1.6,5,,- Hybrid 129 Ultimate DCT
Ford,Focus,2013.0,41,2013 (62 reg),Manual,Diesel,Cleckheaton ,5995,1.6,5,Euro 5 (s/s),TDCi Zetec S
Audi,A4,2004.0,163,2004 (54 reg),Auto,Diesel,Goole ,1495,1.9,4,,Audi A4 TDI 130 SE AutoMatic
MINI,Clubman,2016.0,105,2016 (66 reg),Manual,Petrol,Ashton-Under-Lyne ,6495,1.5,6,Euro 6 (s/s),Cooper
Mercedes-Benz,Other,2023.0,38,2023 (72 reg),Auto,Hybrid,Sheffield ,62980,,5,,- GLE 53 4MATICPLUS PREMIUM PLUS SLIDING PANORAMIC ROOF
Rolls-Royce,Silver Dawn,2017.0,33,2017 (67 reg),Auto,Petrol,Ackworth ,149995,6.6,2,Euro 6,V12 Auto
Land Rover,Defender 110,2021.0,28,2021 (21 reg),Auto,Diesel,Sheffield ,49890,3.0,5,Euro 6 (s/s),- D200 MHEV SUV Diesel Auto 4WD (200 ps)
Land Rover,Range Rover Sport,2015.0,79,2015 (65 reg),Auto,Diesel,Bradford ,17990,3.0,5,,SDV6 [306] HSE Dynamic Auto
Citroen,C1,2006.0,114,2006 (6 reg),Manual,Petrol,Keighley ,995,1.0,3,,- i Vibe
Mercedes-Benz,V-Class,2017.0,97,2017 (17 reg),Auto,Diesel,Wakefield ,30990,2.2,5,EURO 6,2017 MERCEDES BENZ V CLASS V250D CDI AMG LINE 7G-TRONIC XLWB
BMW,i5,2025.0,101,2025 (25 reg),Auto,Electric,Harrogate ,69950,,4,,- 250kW eDrive40 M Sport 84kWh Auto
Volvo,Other,2025.0,50,2025 (25 reg),Auto,Electric,Leeds ,46950,,5,,"- Ultra, Twin Motor, Electric"
BMW,3 Series,2011.0,199,2011 (11 reg),Manual,Diesel,Northowram ,1995,3.2,4,,EfficientDynamics
Land Rover,Range Rover,2018.0,70,2018 (68 reg),Auto,Diesel,Oldham ,39950,4.4,5,Euro 6 (s/s),SD V8 Autobiography Auto 4WD
Mercedes-Benz,A-Class,2013.0,57,2013 (13 reg),Manual,Diesel,Castleford ,8690,,5,,- A200 CDI BlueEFFICIENCY AMG Sport
Porsche,Taycan,2023.0,9,2023 (72 reg),Auto,Electric,Sheffield ,72480,3.4,5,,- Performance Plus 9kWh Turbo Cross Turismo Electric Auto 4WD (11kW Ch
Vauxhall,Insignia,2015.0,93,2015 (64 reg),Manual,Diesel,Shipley ,3695,2.0,5,Euro 5 (s/s),CDTi ecoFLEX SRi Nav
Jaguar,F-Pace,2023.0,39,2023 (23 reg),Auto,Diesel,Oldham ,35949,2.0,5,Euro 6 (s/s),D200 MHEV R-Dynamic SE Black Auto AWD (204 ps)
Land Rover,Freelander,2011.0,150,2011 (11 reg),Manual,Diesel,Wakefield ,3295,2.2,5,,eD4 S 2WD
Audi,Q7,2021.0,63,2021 (21 reg),Auto,Diesel,Bradford ,39990,,5,,50 TDI Quattro Black Edition Tiptronic VAT QUALIFYING
Ford,Ranger,2024.0,9,2024 (24 reg),Auto,Diesel,Sheffield ,42900,2.0,4,Euro 6 (s/s),- TD EcoBlue Wildtrak Pickup Double Cab Diesel Auto 4WD
Kia,Sportage,2012.0,123,2012 (12 reg),Manual,Diesel,Rochdale ,3499,1.7,5,,CRDi ISG 3 [Sat Nav]
Audi,A1,2014.0,103,2014 (14 reg),Manual,Petrol,Mexborough ,5495,1.4,3,,TFSI S Line
Land Rover,Freelander,2012.0,88,2012 (12 reg),Auto,Diesel,KEIGHLEY ,7495,2.2,5,,TD4 GS Auto
Skoda,Octavia,2012.0,87,2012 (12 reg),Auto,Diesel,Sheffield ,4995,2.0,5,,TDI CR Elegance DSG
